cartodb_id,the_geom,year,value,domain,data_item,county,state
164,,2007,"196,225",TOTAL,FARM OPERATIONS - ACRES OPERATED,NELSON,KENTUCKY
165,,2007,"93,039",TOTAL,FARM OPERATIONS - ACRES OPERATED,RUSSELL,KENTUCKY
166,,2007,"118,712",TOTAL,FARM OPERATIONS - ACRES OPERATED,TAYLOR,KENTUCKY
167,,2007,"265,126",TOTAL,FARM OPERATIONS - ACRES OPERATED,WARREN,KENTUCKY
168,,2007,"10,194",TOTAL,FARM OPERATIONS - ACRES OPERATED,BELL,KENTUCKY
170,,2007,"43,540",TOTAL,FARM OPERATIONS - ACRES OPERATED,BREATHITT,KENTUCKY
171,,2007,"125,503",TOTAL,FARM OPERATIONS - ACRES OPERATED,CARTER,KENTUCKY
172,,2007,"51,194",TOTAL,FARM OPERATIONS - ACRES OPERATED,CLAY,KENTUCKY
173,,2007,"66,843",TOTAL,FARM OPERATIONS - ACRES OPERATED,ELLIOTT,KENTUCKY
174,,2007,"64,780",TOTAL,FARM OPERATIONS - ACRES OPERATED,ESTILL,KENTUCKY
175,,2007,"7,785",TOTAL,FARM OPERATIONS - ACRES OPERATED,FLOYD,KENTUCKY
176,,2007,"91,853",TOTAL,FARM OPERATIONS - ACRES OPERATED,GREENUP,KENTUCKY
177,,2007,"3,034",TOTAL,FARM OPERATIONS - ACRES OPERATED,HARLAN,KENTUCKY
178,,2007,"82,614",TOTAL,FARM OPERATIONS - ACRES OPERATED,JACKSON,KENTUCKY
180,,2007,"6,937",TOTAL,FARM OPERATIONS - ACRES OPERATED,KNOTT,KENTUCKY
181,,2007,"51,115",TOTAL,FARM OPERATIONS - ACRES OPERATED,KNOX,KENTUCKY
182,,2007,"102,489",TOTAL,FARM OPERATIONS - ACRES OPERATED,LAUREL,KENTUCKY
183,,2007,"60,220",TOTAL,FARM OPERATIONS - ACRES OPERATED,LAWRENCE,KENTUCKY
184,,2007,"29,419",TOTAL,FARM OPERATIONS - ACRES OPERATED,LEE,KENTUCKY
185,,2007,"5,642",TOTAL,FARM OPERATIONS - ACRES OPERATED,LESLIE,KENTUCKY
265,,2002,"167,902",TOTAL,FARM OPERATIONS - ACRES OPERATED,ALLEN,KENTUCKY
186,,2007,"3,617",TOTAL,FARM OPERATIONS - ACRES OPERATED,LETCHER,KENTUCKY
187,,2007,"146,761",TOTAL,FARM OPERATIONS - ACRES OPERATED,LEWIS,KENTUCKY
188,,2007,"61,620",TOTAL,FARM OPERATIONS - ACRES OPERATED,MAGOFFIN,KENTUCKY
189,,2007,"7,110",TOTAL,FARM OPERATIONS - ACRES OPERATED,MARTIN,KENTUCKY
190,,2007,"15,056",TOTAL,FARM OPERATIONS - ACRES OPERATED,MCCREARY,KENTUCKY
191,,2007,"43,110",TOTAL,FARM OPERATIONS - ACRES OPERATED,MENIFEE,KENTUCKY
192,,2007,"136,303",TOTAL,FARM OPERATIONS - ACRES OPERATED,MORGAN,KENTUCKY
193,,2007,"35,857",TOTAL,FARM OPERATIONS - ACRES OPERATED,OWSLEY,KENTUCKY
194,,2007,"10,661",TOTAL,FARM OPERATIONS - ACRES OPERATED,PERRY,KENTUCKY
195,,2007,"14,228",TOTAL,FARM OPERATIONS - ACRES OPERATED,PIKE,KENTUCKY
196,,2007,"32,763",TOTAL,FARM OPERATIONS - ACRES OPERATED,POWELL,KENTUCKY
197,,2007,"231,781",TOTAL,FARM OPERATIONS - ACRES OPERATED,PULASKI,KENTUCKY
199,,2007,"49,963",TOTAL,FARM OPERATIONS - ACRES OPERATED,ROWAN,KENTUCKY
200,,2007,"142,827",TOTAL,FARM OPERATIONS - ACRES OPERATED,WAYNE,KENTUCKY
201,,2007,"73,414",TOTAL,FARM OPERATIONS - ACRES OPERATED,WHITLEY,KENTUCKY
202,,2007,"57,701",TOTAL,FARM OPERATIONS - ACRES OPERATED,WOLFE,KENTUCKY
203,,2007,"142,770",TOTAL,FARM OPERATIONS - ACRES OPERATED,CALDWELL,KENTUCKY
204,,2007,"346,450",TOTAL,FARM OPERATIONS - ACRES OPERATED,CHRISTIAN,KENTUCKY
205,,2007,"160,116",TOTAL,FARM OPERATIONS - ACRES OPERATED,CRITTENDEN,KENTUCKY
206,,2007,"256,922",TOTAL,FARM OPERATIONS - ACRES OPERATED,DAVIESS,KENTUCKY
207,,2007,"63,060",TOTAL,FARM OPERATIONS - ACRES OPERATED,HANCOCK,KENTUCKY
208,,2007,"195,706",TOTAL,FARM OPERATIONS - ACRES OPERATED,HENDERSON,KENTUCKY
209,,2007,"159,366",TOTAL,FARM OPERATIONS - ACRES OPERATED,HOPKINS,KENTUCKY
210,,2007,"289,931",TOTAL,FARM OPERATIONS - ACRES OPERATED,LOGAN,KENTUCKY
211,,2007,"144,193",TOTAL,FARM OPERATIONS - ACRES OPERATED,MCLEAN,KENTUCKY
212,,2007,"140,834",TOTAL,FARM OPERATIONS - ACRES OPERATED,MUHLENBERG,KENTUCKY
213,,2007,"168,602",TOTAL,FARM OPERATIONS - ACRES OPERATED,OHIO,KENTUCKY
214,,2007,"119,122",TOTAL,FARM OPERATIONS - ACRES OPERATED,SIMPSON,KENTUCKY
215,,2007,"197,976",TOTAL,FARM OPERATIONS - ACRES OPERATED,TODD,KENTUCKY
216,,2007,"200,839",TOTAL,FARM OPERATIONS - ACRES OPERATED,UNION,KENTUCKY
217,,2007,"154,999",TOTAL,FARM OPERATIONS - ACRES OPERATED,WEBSTER,KENTUCKY
218,,2007,"74,750",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOONE,KENTUCKY
229,,2007,"65,098",TOTAL,FARM OPERATIONS - ACRES OPERATED,TRIMBLE,KENTUCKY
230,,2007,"110,199",TOTAL,FARM OPERATIONS - ACRES OPERATED,BALLARD,KENTUCKY
